url,company,price,change
https://groww.in/us-stocks/nke,Nike Inc,$71.30,+0.01(0.01%) 1D
https://groww.in/us-stocks/ko,Coca-Cola Company The,$60.98,-0.73(1.18%) 1D
https://groww.in/us-stocks/msft,Microsoft Corporation,$418.85,-5.71(1.34%) 1D
https://groww.in/us-stocks/axp,American Express Co,$292.73,-10.12(3.34%) 1D
https://groww.in/us-stocks/amgn,Amgen Inc,$262.36,-1.85(0.70%) 1D
https://groww.in/us-stocks/aapl,Apple Inc,$237.03,-5.67(2.34%) 1D
https://groww.in/us-stocks/ba,Boeing Company The,$172.15,+0.39(0.23%) 1D
https://groww.in/us-stocks/csco,Cisco Systems Inc,$58.74,-0.46(0.78%) 1D
https://groww.in/us-stocks/gs,Goldman Sachs Group Inc The,$559.79,-20.23(3.49%) 1D
https://groww.in/us-stocks/ibm,International Business Machines Corp,$219.60,-3.58(1.60%) 1D
https://groww.in/us-stocks/intc,Intel Corporation,$19.14,-0.74(3.72%) 1D
https://groww.in/us-stocks/jpm,JPMorgan Chase & Co,$239.96,-3.17(1.30%) 1D
https://groww.in/us-stocks/mcd,McDonald's Corp,$282.23,-4.67(1.63%) 1D
https://groww.in/us-stocks/crm,Salesforcecom Inc,$317.79,-9.11(2.79%) 1D
https://groww.in/us-stocks/vz,Verizon Communications Inc,$37.85,-0.41(1.08%) 1D
https://groww.in/us-stocks/v,Visa Inc,$307.50,-5.10(1.63%) 1D
https://groww.in/us-stocks/wmt,Walmart Inc,$92.96,+1.16(1.26%) 1D
https://groww.in/us-stocks/dis,Walt Disney Company The,$108.39,-1.37(1.25%) 1D
https://groww.in/us-stocks/mmm,3M CO,$130.61,-3.92(2.91%) 1D
https://groww.in/us-stocks/abmd,ABIOMED Inc,$381.02,+0.23(0.06%) 1D
https://groww.in/us-stocks/uhal,AMERCO,$66.91,-1.46(2.14%) 1D
https://groww.in/us-stocks/t,AT&T Inc,$21.69,-0.21(0.97%) 1D
